Course Code,Slot,Venue
BASTS101,B3,AB3-103
BASTS101,B3,AB3-104
BASTS101,B3,AB3-105
BASTS101,B3,AB3-106
BASTS101,B3,AB3-107
BASTS101,B3,AB3-108
BASTS101,B3,AB3-109
BASTS101,B3,AB3-203
BASTS101,B3,AB3-204
BASTS101,B3,AB3-205
BASTS101,B3,AB3-206
BASTS101,B3,AB3-207
BASTS101,B3,AB3-103
BASTS101,B3,AB3-104
BASTS101,B3,AB3-105
BASTS101,B3,AB3-106
BASTS101,B3,AB3-107
BASTS101,B3,AB3-108
BASTS101,B3,AB3-109
BASTS101,B3,AB3-203
BASTS101,B3,AB3-204
BASTS101,B3,AB3-205
BASTS101,B3,AB3-206
BASTS101,B3,AB3-207
BASTS101,B3,AB3-208
BASTS101,B2,AB2-301
BASTS101,B2,AB2-302
BASTS101,B2,AB2-303
BASTS101,B1,AB1-402
BASTS101,B1,AB1-408
BASTS101,B2,AB2-301
BASTS101,B2,AB2-302
BASTS101,B1,AB1-402
BASTS101,B1,AB1-301
BASTS101,B1,AB1-302
BASTS101,B1,AB1-308
BASTS101,B1,AB1-309
BASTS101,B1,AB1-608
BASTS101,B1,AB1-609
BASTS101,B1,AB1-610
BASTS101,B4,AB4-514
BASTS101,B1,AB1-301
BASTS101,B1,AB1-302
BASTS101,B1,AB1-308
BASTS101,B1,AB1-309
BASTS101,B1,AB1-608
BASTS101,B1,AB1-609
BASTS101,B1,AB1-702
BASTS101,B2,AB2-401
BASTS101,B2,AB2-402
BASTS101,B2,AB2-406
BASTS101,B2,AB2-401
BASTS101,B2,AB2-402
BASTS101,B1+TB1,ADB-702VFIT
BASTS101,B3,AB3-208
BASTS101,B3,AB3-209
BASTS101,B3,AB3-211
BASTS101,B3,AB3-303
BASTS101,B3,AB3-304
BASTS101,B3,AB3-305
BASTS101,B3,AB3-306
BASTS101,B3,AB3-307
BASTS101,B3,AB3-308
BASTS101,B3,AB3-309
BASTS101,B3,AB3-313
BASTS101,B3,AB3-403
BASTS101,B3,AB3-404
BASTS101,B3,AB3-209
BASTS101,B3,AB3-211
BASTS101,B3,AB3-303
BASTS101,B3,AB3-304
BASTS101,B3,AB3-305
BASTS101,B3,AB3-306
BASTS101,B3,AB3-307
BASTS101,B3,AB3-308
BASTS101,B3,AB3-309
BASTS101,B3,AB3-313
BASTS101,B2,AB2-406
IASTS101,B4,AB4-504
IASTS101,B4,AB4-505
IASTS101,B4,AB4-502
IASTS101,B4,AB4-503
IASTS101,B4,AB4-504
IASTS101,B4,AB4-502
STS4021,B3,MAB3-103SCOPE
STS4021,B3,MAB3-103SCOPE
STS4021,B3,MAB3-102SCOPE
BAMAT101,B3,AB3-509
BAMAT101,B1,AB1-507B
BAMAT201,B4,AB4-501
BAMAT201,B3,AB3-605
BAMAT205,B3,AB3-208
BAMAT205,B3,AB3-304
BAMAT205,B3,AB3-208
BAMAT205,B3,AB3-305
BAMAT205,B3,AB3-306
BAMAT205,B3,AB3-313
BAMAT205,B3,AB3-307
BAMAT205,B3,AB3-211
BAMAT205,B3,AB3-304
BAMAT205,B3,AB3-309
BAMAT205,B3,AB3-309
BAMAT205,B3,AB3-313
BAMAT205,B3,AB3-404
BAMAT205,B3,AB3-209
BAMAT205,B3,AB3-303
BAMAT205,B3,AB3-305
BAMAT205,B3,AB3-306
BAMAT205,B3,AB3-307
BAMAT205,B3,AB3-308
BAMAT205,B3,AB3-209
BAMAT205,B3,AB3-211
BAMAT205,B3,AB3-303
BAMAT205,B3,AB3-403
BAMAT205,B3,AB3-308
BAMAT207,B3,AB3-613
BAMAT207,B1,AB1-514
BAMAT209,B1,AB1-608
BAMAT209,B1,AB1-609
BAMAT209,B1,AB1-610
BAMAT209,B1,AB1-608
BAMAT209,B1,AB1-609
BMAT202L,B3,AB3-508
BMAT202L,B3,AB3-509
BMAT202L,B3,AB3-513
BMAT202L,B3,AB3-603
BMAT202L,B3,AB3-604
BMAT202L,B3,AB3-605
BMAT202L,B3,AB3-606
BMAT202L,B3,AB3-607
BMAT202L,B3,AB3-608
BMAT202L,B3,AB3-609
BMAT202L,B3,AB3-613
BMAT202L,B3,AB3-508
BMAT202L,B3,AB3-509
BMAT202L,B3,AB3-513
BMAT202L,B3,AB3-603
BMAT202L,B3,AB3-604
BMAT202L,B3,AB3-605
BMAT202L,B3,AB3-606
BMAT202L,B3,AB3-607
BMAT202L,B3,AB3-608
BMAT202L,B3,AB3-609
BMAT202L,B3,AB3-613
BMAT202L,B3,AB3-703
BMAT202L,B3,AB3-704
BMAT202L,B1,AB1-802
BMAT202L,B1,AB1-808
BMAT202L,B1,AB1-809
BMAT202L,B1,AB1-802
BMAT202L,B1,AB1-808
BMAT202L,B1,AB1-809
BMAT202P,B1,AB1-505
BMAT202P,B1,AB1-613
BMAT202P,B1,AB1-505ABAI
BMAT202P,B1,AB1-505
BMAT202P,B1,AB1-505ABAI
BMAT202P,B1,AB1-505
BMAT202P,B1,AB1-505
BMAT202P,B1,AB1-505ABAI
BMAT202P,B1,AB1-505ABAI
BMAT202P,B1,AB1-505
BMAT202P,B1,AB1-505
BMAT202P,B1,AB1-505
BMAT202P,B1,AB1-505
BMAT202P,B1,AB1-505
BMAT202P,B1,AB1-505
BMAT202P,B1,AB1-613
BMAT202P,B1,AB1-505
BMAT202P,B1,AB1-613
BMAT202P,B1,AB1-505ABAI
BMAT202P,B1,AB1-505ABAI
BMAT202P,B1,AB1-505ABAI
BMAT202P,B1,AB1-505
BMAT202P,B1,AB1-505ABAI
BMAT202P,B1,AB1-505ABAI
BMAT202P,B1,AB1-505
BMAT202P,B1,AB1-505
BMAT202P,B1,AB1-505ASENSE
BMAT202P,B1,AB1-505
BMAT202P,B1,AB1-606ASENSE
BMAT202P,B1,AB1-606ASENSE
BMAT205L,B3,AB3-405
BMAT205L,B3,AB3-406
BMAT205L,B3,AB3-407
BMAT205L,B3,AB3-408
BMAT205L,B3,AB3-409
BMAT205L,B3,AB3-413
BMAT205L,B3,AB3-503
BMAT205L,B3,AB3-504
BMAT205L,B3,AB3-505
BMAT205L,B3,AB3-506
BMAT205L,B3,AB3-507
BMAT205L,B2,AB2-407
BMAT205L,B3,AB3-406
BMAT205L,B3,AB3-405
BMAT205L,B3,AB3-407
BMAT205L,B3,AB3-408
BMAT205L,B3,AB3-409
BMAT205L,B3,AB3-413
BMAT205L,B3,AB3-503
BMAT205L,B3,AB3-504
BMAT205L,B3,AB3-505
BMAT205L,B3,AB3-506
BMAT205L,B3,AB3-403
BMAT205L,B3,AB3-404
IAMAT202,B4,AB4-502
IAMAT202,B4,AB4-503
IAMAT202,B4,AB4-504
IAMAT202,B4,AB4-505
IAMAT202,B4,AB4-502
IAMAT202,B4,AB4-504
IMAT201L,B3,MAB3-101
IMAT201L,B3,MAB3-102
IMAT201L,B3,MAB3-101
TCHY140L,B2,AB2-605
UMAT201L,B3,AB3-708
BABIT314,B3,AB3-405
BABIT314,B3,AB3-405
BBIT415L,B3,AB3-304
BBIT415L,B3,AB3-304
BBIT415L,B3,AB3-303
BBIT415L,B3,AB3-303
BBIT415L,B3,AB3-303
BBIT415L,B3,AB3-303
BACLE102,E1,AB1-702
BACLE102,E1,AB1-703
BACLE102,E1,AB1-703
BACLE104,E1,AB1-702
BACLE201,E2,AB1-702
BACLE201,E2,AB2-014
BACLE201,E2,AB2-014
BACLE302,E3,AB1-702
BACLE302,E3,AB2-003
BACLE402,E4,AB1-702
BACLE416,E4,AB1-709
BACLE416,E4,AB1-703
BACLE422,E4,AB1-709
BCLE202L,E2,AB1-709
BCLE210L,E2,AB1-708
BCLE211L,E2,AB1-709
BCLE214L,E2,AB2-405
BCLE214L,E2,AB1-411
BCLE214L,E2,AB3-313
BCLE215L,E2,AB1-611
BCLE215L,E2,AB3-313
BCLE215L,E2,AB2-405
BCLE216L,E2,AB3-513
BCLE216L,E2,AB1-411
BCLE301L,E3,AB1-709
BCLE301P,E3,AB2-003
BCLE303L,E3,AB1-708
BCLE304L,E3,AB1-708
BCLE304P,E3,AB1-514
BCLE305L,E3,AB1-708
BCLE307L,E3,AB1-708
BCLE317E,E3,AB1-708
BCLE317E,E3,AB1-514
BACSE102,E1,AB1-607
BACSE102,E1,AB1-506ABCE
BACSE102,E1,AB3-511
BACSE102,E1,AB3-511
BACSE102,E1,AB3-511
BACSE102,E1,AB3-202
BACSE102,E1,AB3-602
BACSE102,E1,AB1-208
BACSE102,E1,AB3-412BCE
BACSE102,E1,AB3-511
BACSE102,E1,AB1-313
BACSE102,E1,AB3-612
BACSE102,E1,AB3-402BCE
BACSE102,E1,AB3-402BCE
BACSE102,E1,AB1-209
BACSE102,E1,AB1-210
BACSE102,E1,AB3-612
BACSE102,E1,AB3-602
BACSE102,E1,AB3-611
BACSE102,E1,AB3-611
BACSE102,E1,AB3-412BCE
BACSE102,E1,AB3-410
BACSE102,E1,AB3-612
BACSE102,E1,AB3-310
BACSE102,E1,AB1-605BBCE
BACSE102,E1,AB3-611
BACSE102,E1,AB3-612
BACSE102,E1,AB1-313
BACSE102,E1,AB3-302
BACSE102,E1,AB3-412BAI
BACSE102,E1,AB3-511
BACSE102,E1,AB3-511
BACSE102,E1,AB3-612
BACSE102,E1,AB3-202
BACSE102,E1,AB3-611
BACSE102,E1,AB3-202
BACSE102,E1,AB3-611
BACSE102,E1,AB3-412BAI
BACSE102,E1,AB3-511
BACSE102,E1,AB3-611
BACSE102,E1,AB3-311
BACSE102,E1,AB3-412BAI
BACSE102,E1,AB3-302
BACSE102,E1,AB3-410
BACSE102,E1,AB3-612
BACSE102,E1,AB3-302
BACSE102,E1,AB3-410
BACSE102,E1,AB3-402BAI
BACSE102,E1,AB3-402BAI
BACSE102,E1,AB3-602
BACSE102,E1,AB1-607BSENSE
BACSE102,E1,AB1-607BSENSE
BACSE102,E1,AB1-607BSENSE
BACSE102,E1,AB1-607BSENSE
BACSE102,E1,AB1-607BSENSE
BACSE102,E1,AB1-603ASELECT
BACSE103,E1,AB3-207
BACSE103,E1,AB1-207
BACSE105,E1,AB1-603A
BACSE105,E1,AB2-406
BACSE105,E1,AB2-406
BACSE105,E1,AB1-607
BACSE105,E1,AB1-609
BACSE105,E1,AB1-608
BACSE105,E1,AB1-610
BACSE105,E1,AB1-607BSENSE
BACSE105,E1,AB1-607BSENSE
BACSE105,E1,AB1-608
BACSE105,E1,AB1-609
BACSE105,E1,AB1-607BSENSE
BACSE105,E1,AB4-411
BACSE105,E1,AB1-607BSENSE
BACSE106,E1,AB3-204
BACSE106,E1,AB3-107
BACSE106,E1,AB3-202
BACSE106,E1,AB3-103
BACSE106,E1,AB3-104
BACSE106,E1,AB3-204
BACSE106,E1,AB3-106
BACSE106,E1,AB3-202
BACSE106,E1,AB3-203
BACSE106,E1,AB3-402BCE
BACSE106,E1,AB3-107
BACSE106,E1,AB3-412BCE
BACSE106,E1,AB3-108
BACSE106,E1,AB3-108
BACSE106,E1,AB3-205
BACSE106,E1,AB3-106
BACSE106,E1,AB1-311
BACSE106,E1,AB3-103
BACSE106,E1,AB3-205
BACSE106,E1,AB3-105
BACSE106,E1,AB3-402BCE
BACSE106,E1,AB3-206
BACSE106,E1,AB3-104
BACSE106,E1,AB3-105
BACSE106,E1,AB3-412BCE
BACSE106,E1,AB3-109
BACSE106,E1,AB3-511
BACSE106,E1,AB3-307
BACSE106,E1,AB3-308
BACSE106,E1,AB3-309
BACSE106,E1,AB3-208
BACSE106,E1,AB3-209
BACSE106,E1,AB3-211
BACSE106,E1,AB3-306
BACSE106,E1,AB3-303
BACSE106,E1,AB3-304
BACSE106,E1,AB3-307
BACSE106,E1,AB3-305
BACSE106,E1,AB3-305
BACSE106,E1,AB3-404
BACSE106,E1,AB3-306
BACSE106,E1,AB3-309
BACSE106,E1,AB3-313
BACSE106,E1,AB3-313
BACSE106,E1,AB3-403
BACSE106,E1,AB3-507
BACSE106,E1,AB1-208
BACSE106,E1,AB1-609
BACSE106,E1,AB1-610
BACSE106,E1,AB4-407
BACSE106,E1,AB4-407
BACSE106,E1,AB1-608
BACSE106,E1,AB4-407
BACSE106,E1,AB1-609
BACSE106,E1,AB4-407
BACSE106,E1,AB3-207
BACSE106,E1,AB3-203
BACSE106,E1,AB3-208
BACSE106,E1,AB3-207
BACSE106,E1,AB3-109
BACSE106,E1,AB3-206
BACSE106,E1,AB3-308
BACSE106,E1,AB3-303
BACSE106,E1,AB3-304
BACSE106,E1,AB3-209
BACSE106,E1,AB1-608
BACSE106,E1,AB3-211
BACSE106,E1,AB4-407
BACSE106,E1,AB3-402BCE
BACSE106,E1,AB1-605ABCE
BACSE106,E1,AB3-302
BACSE106,E1,AB3-412BCE
BACSE106,E1,AB3-202
BACSE106,E1,AB3-410
BACSE106,E1,AB3-302
BACSE106,E1,AB1-208
BACSE106,E1,AB3-412BCE
BACSE106,E1,AB3-202
BACSE106,E1,AB3-402BCE
BACSE106,E1,AB3-611
BACSE106,E1,AB3-402BCE
BACSE106,E1,AB3-611
BACSE106,E1,AB1-210
BACSE106,E1,AB3-302
BACSE106,E1,AB3-302
BACSE106,E1,AB3-302
BACSE106,E1,AB3-402BAI
BACSE106,E1,AB3-412BAI
BACSE106,E1,AB3-202
BACSE106,E1,AB1-311
BACSE106,E1,AB3-402BAI
BACSE106,E1,AB3-302
BACSE106,E1,AB3-412BAI
BACSE106,E1,AB3-511
BACSE106,E1,AB3-611
BACSE106,E1,AB3-612
BACSE106,E1,AB1-208
BACSE106,E1,AB1-210
BACSE106,E1,AB1-311
BACSE106,E1,AB3-611
BACSE106,E1,AB3-612
BACSE106,E1,AB1-206
BACSE106,E1,AB1-210
BACSE106,E1,AB1-311
BACSE106,E1,AB3-202
BACSE106,E1,AB3-302
BACSE106,E1,AB3-402BAI
BACSE106,E1,AB3-412BAI
BACSE201,E2,AB3-104
BACSE201,E2,AB3-103
BACSE201,E2,AB3-205
BACSE201,E2,AB3-206
BACSE201,E2,AB3-206
BACSE201,E2,AB3-207
BACSE201,E2,AB3-207
BACSE201,E2,AB3-106
BACSE201,E2,AB3-106
BACSE201,E2,AB3-108
BACSE201,E2,AB3-108
BACSE201,E2,AB3-104
BACSE201,E2,AB3-208
BACSE201,E2,AB3-107
BACSE201,E2,AB3-107
BACSE201,E2,AB3-103
BACSE201,E2,AB3-109
BACSE201,E2,AB3-109
BACSE201,E2,AB3-203
BACSE201,E2,AB3-203
BACSE201,E2,AB3-205
BACSE201,E2,AB3-105
BACSE201,E2,AB3-105
BACSE201,E2,AB3-204
BACSE201,E2,AB3-204
BACSE201,E2,AB3-208
BACSE201,E2,AB3-209
BACSE201,E2,AB3-209
BACSE201,E2,AB3-211
BACSE201,E2,AB3-211
BACSE201,E2,AB3-303
BACSE201,E2,AB3-303
BACSE201,E2,AB3-304
BACSE201,E2,AB3-304
BACSE201,E2,AB3-305
BACSE201,E2,AB3-306
BACSE201,E2,AB3-306
BACSE201,E2,AB3-307
BACSE201,E2,AB3-307
BACSE201,E2,AB3-308
BACSE201,E2,AB3-308
BACSE201,E2,AB3-309
BACSE201,E2,AB3-309
BACSE201,E2,AB3-313
BACSE201,E2,AB3-313
BACSE201,E2,AB3-403
BACSE201,E2,AB3-404
BACSE201,E2,AB3-507
BACSE201,E2,AB3-505
BACSE202,E2,AB3-103
BACSE202,E2,AB1-605BBCE
BACSE202,E2,AB3-107
BACSE202,E2,AB3-203
BACSE202,E2,AB3-207
BACSE202,E2,AB3-104
BACSE202,E2,AB3-204
BACSE202,E2,AB3-105
BACSE202,E2,AB3-205
BACSE202,E2,AB3-106
BACSE202,E2,AB3-206
BACSE202,E2,AB3-103
BACSE202,E2,AB1-313
BACSE202,E2,AB3-107
BACSE202,E2,AB1-605BBCE
BACSE202,E2,AB3-104
BACSE202,E2,AB1-506ABCE
BACSE202,E2,AB3-108
BACSE202,E2,AB1-506ABCE
BACSE202,E2,AB3-105
BACSE202,E2,AB3-109
BACSE202,E2,AB1-605BBCE
BACSE202,E2,AB3-106
BACSE202,E2,AB3-203
BACSE202,E2,AB3-310
BACSE202,E2,AB3-108
BACSE202,E2,AB3-204
BACSE202,E2,AB3-602
BACSE202,E2,AB3-109
BACSE202,E2,AB3-205
BACSE202,E2,AB3-602
BACSE202,E2,AB3-206
BACSE202,E2,AB3-602
BACSE202,E2,AB3-207
BACSE202,E2,AB3-612
BACSE202,E2,AB3-306
BACSE202,E2,AB1-209
BACSE202,E2,AB3-309
BACSE202,E2,AB1-209
BACSE202,E2,AB3-308
BACSE202,E2,AB3-311
BACSE202,E2,AB3-307
BACSE202,E2,AB1-307
BACSE202,E2,AB3-211
BACSE202,E2,AB1-313
BACSE202,E2,AB3-209
BACSE202,E2,AB1-313
BACSE202,E2,AB3-305
BACSE202,E2,AB1-506ABAI
BACSE202,E2,AB3-208
BACSE202,E2,AB1-605BBAI
BACSE202,E2,AB3-507
BACSE202,E2,AB3-310
BACSE202,E2,AB3-209
BACSE202,E2,AB3-310
BACSE202,E2,AB3-308
BACSE202,E2,AB3-311
BACSE202,E2,AB3-306
BACSE202,E2,AB1-313
BACSE202,E2,AB3-313
BACSE202,E2,AB1-313
BACSE202,E2,AB3-305
BACSE202,E2,AB3-602
BACSE202,E2,AB3-313
BACSE202,E2,AB3-602
BACSE202,E2,AB3-211
BACSE202,E2,AB3-611
BACSE202,E2,AB3-304
BACSE202,E2,AB1-506ABAI
BACSE202,E2,AB3-307
BACSE202,E2,AB1-605BBAI
BACSE202,E2,AB3-309
BACSE202,E2,AB3-602
BACSE202,E2,AB3-304
BACSE202,E2,AB1-209
BACSE202,E2,AB3-413
BACSE202,E2,AB3-311
BACSE202,E2,AB3-505
BACSE202,E2,AB3-310
BACSE202,E2,AB2-408
BACSE202,E2,AB3-703
BACSE202,E2,AB1-605BBAI
BACSE202,E2,AB1-313
BACSE202,E2,AB1-605BBCE
BACSE202,E2,AB3-310
BACSE202,E2,AB3-311
BACSE202,E2,AB3-602
BACSE202,E2,AB3-311
BACSE202,E2,AB1-313
BACSE202,E2,AB1-313
BACSE202,E2,AB1-506ABCE
BACSE202,E2,AB3-310
BACSE202,E2,AB1-605BBCE
BACSE202,E2,AB3-311
BACSE202,E2,AB3-602
BACSE202,E2,AB1-506ABCE
BACSE202,E2,AB3-707
